,airline_sentiment,text
0,positive,@VirginAmerica plus you've added commercials to the experience... tacky.
1,negative,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
2,negative,@VirginAmerica and it's a really big bad thing about it
3,negative,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"
4,positive,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)"
5,positive,"@virginamerica Well, I didn't…but NOW I DO! :-D"
6,positive,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."
7,positive,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D
8,positive,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p
9,positive,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn
10,positive,@VirginAmerica Thanks!
11,negative,@VirginAmerica SFO-PDX schedule is still MIA.
12,positive,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo
13,negative,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!
14,positive,I ❤️ flying @VirginAmerica. ☺️👍
15,positive,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.
16,negative,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???
17,positive,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA
18,positive,@VirginAmerica I love the hipster innovation. You are a feel good brand.
19,negative,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet
20,negative,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.
21,negative,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
22,negative,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
23,negative,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢"
24,negative,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
25,negative,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
26,positive,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
27,positive,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday
28,positive,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!"
29,negative,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk
30,positive,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr"
31,negative,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?"
32,positive,@VirginAmerica I'm #elevategold for a good reason: you rock!!
33,positive,@VirginAmerica wow this just blew my mind
34,positive,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood
35,negative,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!
36,positive,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures
37,positive,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊
38,negative,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!
39,positive,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!
40,negative,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
41,negative,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
42,positive,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV
43,negative,@VirginAmerica everything was fine until you lost my bag
44,negative,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt
45,positive,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
46,positive,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?
47,negative,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
48,negative,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness
49,positive,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G
50,negative,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(
51,negative,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness
52,negative,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin
53,negative,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R
54,negative,@VirginAmerica Why is the site down?  When will it be back up?
55,negative,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
56,negative,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
57,negative,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign."
58,negative,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y
59,negative,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable
60,negative,@virginamerica What is your phone number. I can't find who to call about a flight reservation.
61,negative,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.
62,negative,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax
63,negative,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky
64,negative,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.
65,positive,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying"
66,negative,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm
67,negative,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.
68,positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare"
69,positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare"
70,positive,@VirginAmerica Have a great week 🌞✈
71,positive,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH
72,negative,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
73,positive,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience"
74,positive,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!
75,positive,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.
76,positive,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining"
77,negative,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?
78,negative,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?"
79,negative,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370
80,positive,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!
81,positive,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!
82,negative,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!
83,positive,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue
84,negative,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.
85,negative,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry
86,negative,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!
87,negative,@VirginAmerica Another delayed flight? #likingyoulessandless
88,negative,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise
89,positive,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015
90,positive,@VirginAmerica always!!! Xoxo
91,negative,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated
92,negative,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame
93,positive,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!
94,negative,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas
95,positive,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!
96,negative,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :("
97,negative,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.
98,positive,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.
99,positive,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf
100,negative,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.
101,negative,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?
102,positive,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-)
103,negative,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.
104,negative,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!
105,negative,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site"
106,negative,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
107,negative,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)"
108,negative,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter
109,negative,@VirginAmerica is the website down?
110,negative,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2
111,negative,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers
112,negative,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh
113,negative,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!
114,negative,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher..."
115,negative,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed
116,positive,@VirginAmerica Thank you for the follow
117,negative,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers
118,negative,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
119,negative,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!
120,negative,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?
121,positive,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt
122,positive,@VirginAmerica Only way to fly! #Elevate #Gold
