,Text,Sentiment
0,plu ad commerci experi tacki,1
1,realli aggress blast obnoxi entertain guest face amp littl recours,0
2,realli big bad thing,0
3,serious would pay flight seat play realli bad thing fli va,0
4,ye nearli everi time fli vx ear worm go away,1
5,well,1
6,amaz arriv hour earli good,1
7,lt pretti graphic much better minim iconographi,1
8,great deal alreadi think nd trip amp even gone st trip yet p,1
9,fli fabul seduct sky u take stress away travel,1
10,thank,1
11,sfo pdx schedul still mia,0
12,excit first cross countri flight lax mco heard noth great thing virgin america daystogo,1
13,flew nyc sfo last week fulli sit seat due two larg gentleman either side help,0
14,fli,1
15,know would amazingli awesom bo fll pleas want fli,1
16,first fare may three time carrier seat avail select,0
17,love graphic,1
18,love hipster innov feel good brand,1
19,guy mess seat reserv seat friend guy gave seat away want free internet,0
20,statu match program appli three week call email respons,0
21,happen ur vegan food option least say ur site know abl eat anyth next hr fail,0
22,amaz get cold air vent vx noair worstflightev roast sfotobo,0
23,hi bked cool birthday trip add elev caus enter middl name flight book problem,0
24,help left expens headphon flight iad lax today seat one answer l amp f number lax,0
25,await return phone call would prefer use onlin self servic option,0
26,great news america could start flight hawaii end year via,1
27,moodlight way fli best experi ever cool calm moodlitmonday,1
28,done done best airlin around hand,1
29,chat support not work site,0
30,view downtown lo angel hollywood sign beyond rain mountain,1
31,hey first time flyer next week excit hard time get flight ad elev account help,0
32,elevategold good reason rock,1
33,wow blew mind,1
34,juli andrew way though impress,1
35,hi excit lga gt dal deal tri book sinc last week amp page never load thx,0
36,know need spotifi stat guiltypleasur,1
37,ladi gaga amaz,1
38,call week ago ad flight elev still shown help,0
39,love three realli beat classic,1
40,heyyyi guyyyi tri get hour someon call pleas,0
41,hi virgin hold minut earlier flight la nyc tonight earlier pm,0
42,congrat win award best deal airlin us,1
43,everyth fine lost bag,0
44,airlin awesom lax loft need step game dirti tabl floor,0
45,not worri great ride new plane great crew airlin like,1
46,awesom flew yall sat morn way correct bill,1
47,go custom servic anyway speak human asap thank,0
48,supp biz travel like custom servic like neverflyvirginforbusi,0
49,appli member inflight crew team im interest flightattend dreampath g,1
50,best whenev begrudgingli use airlin delay late flight,0
51,interest fli cancel flight next four flight plan neverflyvirginforbusi,0
